,Star_name,Distance,Mass,Radius,Gravity
227,2MASS J18283572-4849046,39.0,0.04295646,0.09762485,181881820622538.0
228,LSR J1835+3259,18.5,0.073503276,0.10995641,245328023206523.94
229,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,239583025378629.9
230,2MASS J18432213+4040209,46.0,0.091640448,0.12537086,235274880389630.7
231,2MASS J20004841-7523070,105.0,0.0238647,0.19319444,25801698718600.758
232,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,182070403721659.5
233,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,245426631163843.78
234,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,241920536432931.7
235,PSO J318.5−22,80.0,0.006204822,0.15722739,10128718111523.71
236,HB 2124-4228,113.0,0.089731272,0.12434323,234196878666651.62
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,182070403721659.5
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,204699268127996.6
239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,45367347547571.83
240,2MASSW J2208136+292121,154.0,0.025773876,0.14489583,49539261539713.445
241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,227030097378323.47
242,2MASS J22282889-4310262,35.0,0.040092696,0.09659722,173387415388997.03
243,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,246195534335230.84
244,2MASSW J2244316+204343,56.0,0.011455056,0.13256427,26304243432780.95
245,2MASS J23224684-3133231,56.0,0.022910112,0.14284057,45311206973232.03
246,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,24528933304337.367
247,2MASS J23515044-2537367,67.0,0.084003744,0.11920508,238556186316586.84
248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,245618446800161.7
249,WISE 0410+1502,20.0,0.005727528,0.12023271,15988345202896.775
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,3101820542551.7856
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,2526136397535.25
252,WISE 1405+5534,25.3,0.02863764,0.08837618,147961369309392.9
